method,faithfulness,answer_relevancy,context_precision,context_recall,inference_time_seconds,avg_latency_seconds
base,0.8979841269841269,0.5168452883635676,0.7049999999410832,0.6586666666666667,,~307.44
rerank,0.9576530612244898,0.59649456208232,0.8266666666086665,0.8086666666666668,,~713.59
hyde,0.9385568513119532,0.5894105933648567,0.7533333332756667,0.689,,
agent_improved,0.9483333333333333,0.5970396649715616,0.8216666666082498,0.7603333333333333,870.07,17.4


hyde,0.9708095238095238,0.4976295370477572,0.6766666666153333,0.5786666666666667,,


 base, 307.44 秒 (平均单次: 6.15 秒)